id,equipe,adversaire,logo_adversaire,date,heure,lieu,domicile,division,score_scr,score_adv,buteurs,statut,created_at,updated_at
164,SCR 2,Dalhunden Us,https://cdn-transverse.azureedge.net/phlogos/BC504119.jpg,2026-06-07,17:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,District 5 Alsace,4,1,"{""Kevin WILHELM"",""Kevin WILHELM"",""Didier MALA"",""Enzo HAAS""}",termine,2026-04-27 11:13:12.637293,2026-06-09 09:29:04.956423
106,SCR 3,Hoffen Fc,https://cdn-transverse.azureedge.net/phlogos/BC525960.jpg,2025-08-31,10:00:00,"STADE MUNICIPAL, HOFFEN",f,Challenge des Réserves Alsace Vivialys,2,1,"{""Enzo STUMPF"",""Murat DAG""}",termine,2026-04-27 11:13:12.580583,2026-05-11 11:02:24.584442
109,SCR 3,Aschbach Oberroedern,https://cdn-transverse.azureedge.net/phlogos/BC522585.jpg,2025-09-07,10:00:00,"STADE MUNICIPAL 2, OBERROEDERN",f,District 7 Alsace,1,0,"{""Kevin WILHELM""}",termine,2026-04-27 11:13:12.584596,2026-05-11 11:02:24.58739
114,SCR 3,Niederr Schaffh Ent,https://cdn-transverse.azureedge.net/phlogos/BC513892.jpg,2025-09-28,10:00:00,"STADE JEAN PIERRE 1, ROESCHWOOG",t,Challenge des Réserves Alsace Vivialys,0,3,{},termine,2026-04-27 11:13:12.595915,2026-05-11 11:02:24.591922
115,SCR 3,Hatten As,https://cdn-transverse.azureedge.net/phlogos/BC510304.jpg,2025-10-04,18:30:00,"STADE MUNICIPAL LÉONARD EISELE, HATTEN",f,District 7 Alsace,3,1,"{""Kevin WILHELM"",""Hugo WOLFF"",""Yanis DUARTE""}",termine,2026-04-27 11:13:12.596968,2026-05-11 11:02:24.592732
119,SCR 3,Hunspach As,https://cdn-transverse.azureedge.net/phlogos/BC511367.jpg,2025-10-12,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Alsace,1,3,"{""Stephan KRAUSE""}",termine,2026-04-27 11:13:12.600884,2026-05-11 11:02:24.59582
122,SCR 3,Niederlauterbach,https://cdn-transverse.azureedge.net/phlogos/BC546490.jpg,2025-10-19,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Alsace,6,3,"{""Kevin WILHELM"",""Kevin WILHELM"",""Dylan MARTZ"",""Stephane LAUTER"",""Kevin WILHELM"",""Mateo HUCK""}",termine,2026-04-27 11:13:12.603433,2026-05-11 11:02:24.598007
125,SCR 3,Surbourg Us,https://cdn-transverse.azureedge.net/phlogos/BC504026.jpg,2025-10-26,10:00:00,"STADE MUNICIPAL, SURBOURG",f,District 7 Alsace,2,3,"{""Kevin WILHELM"",""Kevin WILHELM""}",termine,2026-04-27 11:13:12.60599,2026-05-11 11:02:24.600209
128,SCR 3,Oberlauterbach Us,https://cdn-transverse.azureedge.net/phlogos/BC527527.jpg,2025-11-02,10:00:00,"STADE JEAN PIERRE 2, ROESCHWOOG",t,District 7 Alsace,6,0,"{""Kevin WILHELM"",""Kevin WILHELM"",""Mateo HUCK"",""Yanis DUARTE"",""Stephane LAUTER"",""Enzo STUMPF""}",termine,2026-04-27 11:13:12.608377,2026-05-11 11:02:24.602934
131,SCR 3,Beinheim S.S.,https://cdn-transverse.azureedge.net/phlogos/BC508931.jpg,2025-11-09,10:00:00,"STADE DE LA SAUER 1, BEINHEIM",f,District 7 Alsace,1,0,"{""Mateo HUCK""}",termine,2026-04-27 11:13:12.610977,2026-05-11 11:02:24.605051
